Chef~ Zipcode~ Number Of Stars~ Link 
Christophe Pelé~ 75008~ 2 stars~ https://restaurant.michelin.fr/sntd30zx/le-clarence-paris-08 
Michel Trama~ 47270~ 2 stars~ https://restaurant.michelin.fr/2ckuncq/michel-trama-puymirol 
Christophe Blot~ 78720~ 1 star~ https://restaurant.michelin.fr/2agz71j/la-table-des-blot-auberge-du-chateau-dampierre-en-yvelines 
Camille Constantin~ 72200~ 1 star~ https://restaurant.michelin.fr/29hrl09/le-moulin-des-quatre-saisons-la-fleche 
Arnaud Lallement~ 51430~ 3 stars~ https://restaurant.michelin.fr/2cliodi/assiette-champenoise-tinqueux 
Pierre Lambinon~ 31000~ 1 star~ https://restaurant.michelin.fr/2fdyj14/py-r-toulouse 
Pierre Marion~ 50100~ 1 star~ https://restaurant.michelin.fr/2eh8fjc/le-pily-cherbourg-en-cotentin 
Patrick Lagnès~ 46190~ 1 star~ https://restaurant.michelin.fr/2b0i0m7/au-dejeuner-de-sousceyrac-sousceyrac-en-quercy 
Olivier Alemany~ 84240~ 1 star~ https://restaurant.michelin.fr/2eebgpo/la-closerie-ansouis 
Maxime Nouail~ 56190~ 1 star~ https://restaurant.michelin.fr/2bij0t1/domaine-de-rochevilaine-billiers 
Jany Gleize~ 04160~ 1 star~ https://restaurant.michelin.fr/2bp5jf6/la-bonne-etape-chateau-arnoux 
Michel Sarran~ 31000~ 2 stars~ https://restaurant.michelin.fr/2b380z8/michel-sarran-toulouse 
Olivier Beurné~ 56100~ 1 star~ https://restaurant.michelin.fr/29saut6/lamphitryon-lorient 
Emmanuel Hebrard~ 63000~ 1 star~ https://restaurant.michelin.fr/uhpabnjd/lostal-clermont-ferrand 
Anthony Bonnet~ 69005~ 1 star~ https://restaurant.michelin.fr/29t3z0x/les-loges-lyon-05 
Martin et David Ibarboure~ 64210~ 1 star~ https://restaurant.michelin.fr/2es4wcd/briketenia-guethary 
Christophe Schmitt~ 66750~ 1 star~ https://restaurant.michelin.fr/2as8r3a/lalmandin-saint-cyprien-plage 
